Source des données,N° page,Type de centre,Domaine, Acte, catégorie d’actes, Finalité, Base légale, Dossier, Coût, Quittance/Reçu/Timbre, Délai de délivrance, Validité
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,25,[CHUP-CDG],Santé,Hématologie/Myélogramme,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,10 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,25,[CHUP-CDG],Santé,Hématologie/Test de Coombs Direct,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/ASLO,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/BW/RPR,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,1 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Hépatite virale Ag HBs,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,4 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Sérodiagnostic de Widal,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,4 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/TPHA/VDRL,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 400F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Ac anti VHC,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Ac anti Hbe,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Ac anti Hbs,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Ac anti HBc,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Ag Hbe,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,2 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Sérologie Toxoplasmique IgG,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,3 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Sérologie Toxoplasmique IgM,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,8 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/CRP Quantitatif,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,5 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,26,[CHUP-CDG],Santé,Sérologie/Sérologie VIH confirmation Western Blot,SERVICE DE LABORATOIRE,Examen complémentaire en vue de poser un diagnostic,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,10 000 F,Quittance,"Immédiat et en fonction du nombre de patients et selon 
l’urgence", Pour un acte
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,27,[CHUP-CDG],Santé,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES/Accouchement eutocique,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES,Accouchements et intervention obstétricales ,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,6 000 F,Reçu de paiement des frais de sortie du patient,"Immédiat et en fonction du nombre de patients et selon 
l’urgence","Selon le temps de séjour du patient
"
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,27,[CHUP-CDG],Santé,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES/Accouchement dystocique,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES,Accouchements et intervention obstétricales ,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,6 000 F,Reçu de paiement des frais de sortie du patient,"Immédiat et en fonction du nombre de patients et selon 
l’urgence","Selon le temps de séjour du patient
"
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,27,[CHUP-CDG],Santé,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES/Suture du col,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES,Accouchements et intervention obstétricales ,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,4 000F,Reçu de paiement des frais de sortie du patient,"Immédiat et en fonction du nombre de patients et selon 
l’urgence","Selon le temps de séjour du patient
"
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,27,[CHUP-CDG],Santé,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES/Réparation du périnée après accouchement,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES,Accouchements et intervention obstétricales ,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,7 500 F,Reçu de paiement des frais de sortie du patient,"Immédiat et en fonction du nombre de patients et selon 
l’urgence","Selon le temps de séjour du patient
"
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,27,[CHUP-CDG],Santé,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES/DARU,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES,Accouchements et intervention obstétricales ,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,"4,000",Reçu de paiement des frais de sortie du patient,"Immédiat et en fonction du nombre de patients et selon 
l’urgence","Selon le temps de séjour du patient
"
GUIDE PRATIQUE DES ACTES DE SANTÉ DÉLIVRÉS AUX CITOYENS AU NIVEAU DU CENTRE HOSPITALIER UNIVERSITAIRE PÉDIATRIQUE CHARLES DE GAULLE,27,[CHUP-CDG],Santé,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES/Césarienne,ACCOUCHEMENTS ET INTERVENTIONS OBSTÉTRICALES,Accouchements et intervention obstétricales ,"(1) KITTI AN_VIII - 0202/ FP/SAN_AS du 8 Février 1991 portant Base Générale de Tarification des Actes de professionnels de la Santé et des hospitalisations dans les Formations Sanitaires et Etablissements Hospitaliers publics du Burkina Faso. (2) Loi n°23/94/ADP du 19 mai 1994, portant code de la santé publique. (3) Note du SG de la santé 17 Février 2003 portant harmonisation des tarifs et actes médicaux. (4) Décret n°2010- 102/PRES/PM/MS du 12 mars 2010 portant base générale de la tarification des actes des professionnels de la santé des hospitalisations dans les établissements publics de santé hospitaliers du Burkina Faso. (5) Arrêté Conjoint n° 2017/MS/MFPTPS/MCIA/MINEFID portant tarification des actes des professionnels de la santé et des hospitalisations dans les formations sanitaires et établissements hospitaliers publics du Burkina.",Bulletin d’examen,25 000 F,Reçu de paiement des frais de sortie du patient,"Immédiat et en fonction du nombre de patients et selon 
l’urgence","Selon le temps de séjour du patient
"
